ds.short_form	ds.label	license	pub	individuals	ontology_terms	exp_cur
Aso2014	MBONs and split-GAL4 lines that target them (Aso2014)	CC-BY-SA_4.0	FBrf0227179	292	0	0
Cachero2010	Adult Brain fru clones (Cachero2010)	CC-BY-SA_4.0	FBrf0211926	118	0	0
Chiang2010	FlyCircuit 1.0 - single neurons (Chiang2010)	FlyCircuit License	FBrf0212704	16127	0	0
Fushiki2016	Fushiki et al. 2016	CC-BY-SA_4.0	FBrf0231611	64	0	0
Hampel2017	LexA that targets mechanosensory eye bristles	CC-BY-SA_4.0	FBrf0236775	1	0	0
Jenett2012	FlyLight - GMR GAL4 lines (Jenett2012)	CC-BY-NC-SA_4.0	FBrf0219813	3469	0	0
Matsuo2016	Matsuo2016	CC-BY-SA_4.0	FBrf0230862	41	0	0
Namiki2018	split-GAL4 lines for descending neurons (Namiki2018)	CC-BY-SA_4.0	FBrf0239335	129	0	0
Ohyama2015	Ohyama, Schneider-Mizell et al. 2015	CC-BY-SA_4.0	FBrf0228257	108	0	0
Schlegel2016	larval hugin neurons - EM (Schlegel2016)	CC-BY-SA_4.0	FBrf0234450	193	0	0
